City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,ilulissat,69.2167,-51.1,267.16,73,75,1.03,GL,1701668302
121,inari,68.906,27.0288,265.26,97,100,1.47,FI,1701668303
122,whitehorse,60.7161,-135.0538,260.94,92,100,2.06,CA,1701668200
123,west island,-12.1568,96.8225,302.14,65,53,5.66,CC,1701668303
124,verkhnevilyuysk,63.4453,120.3167,228.92,100,76,0.81,RU,1701668303
125,vilyuysk,63.7553,121.6247,229.82,99,83,0.45,RU,1701668303
126,bikenibeu village,1.3673,173.1241,304.13,70,20,6.17,KI,1701668304
127,carnarvon,-24.8667,113.6333,301.01,57,1,9.06,AU,1701668304
128,mek'ele,13.4967,39.4753,290.62,44,27,4.01,ET,1701668304
129,nagqu,31.5,92.0,269.21,19,100,1.78,CN,1701668304
130,sisimiut,66.9395,-53.6735,267.34,77,100,2.65,GL,1701668305
131,keflavik,64.0049,-22.5624,274.39,75,75,5.14,IS,1701668305
132,stanley,54.868,-1.6985,277.47,95,75,1.54,GB,1701668305
133,anaconda,46.1285,-112.9423,274.7,83,66,8.81,US,1701668305
134,shingu,33.7333,135.9833,285.93,47,0,1.5,JP,1701668305
135,twon-brass,4.3151,6.2418,300.13,81,31,3.18,NG,1701668306
136,miles city,46.4083,-105.8406,272.69,59,100,4.63,US,1701668302
137,jamestown,42.097,-79.2353,278.92,97,100,6.69,US,1701668306
138,bredasdorp,-34.5322,20.0403,292.64,53,48,4.43,ZA,1701668306
139,sao joao da barra,-21.6403,-41.0511,296.81,90,25,6.85,BR,1701668306
140,saipan,15.1355,145.701,303.54,66,40,7.2,MP,1701668289
141,isafjordur,66.0755,-23.124,273.88,83,98,3.87,IS,1701668307
142,saint-philippe,-21.3585,55.7679,299.32,64,30,1.77,RE,1701668307
143,hasaki,35.7333,140.8333,288.31,40,2,1.59,JP,1701668307
144,zalari,53.5584,102.5065,268.56,95,100,2.55,RU,1701668307
145,fiambala,-27.6871,-67.6149,287.64,66,96,1.89,AR,1701668308
146,papayal,-4.0761,-80.7361,297.68,67,100,1.35,PE,1701668308
147,okhotsk,59.3833,143.3,241.7,84,38,6.48,RU,1701668019
148,buurhakaba,2.8026,44.0781,301.2,55,39,9.15,SO,1701668308
149,port elizabeth,-33.918,25.5701,292.31,75,0,6.17,ZA,1701668309
150,kerema,-7.9631,145.7785,302.37,73,88,3.29,PG,1701668309
151,bafoulabe,13.8065,-10.8321,297.86,21,99,1.22,ML,1701668309
152,mount isa,-20.7333,139.5,314.02,13,0,5.14,AU,1701668309
153,cabedelo,-6.9811,-34.8339,299.52,83,98,3.77,BR,1701668309
154,lakatoro,-16.0999,167.4164,301.25,77,64,5.81,VU,1701668310
155,uturoa,-16.7333,-151.4333,300.39,80,48,10.1,PF,1701668310
156,port saint john's,-31.6229,29.5448,294.71,84,54,1.1,ZA,1701668310
157,zaragoza,41.6561,-0.8773,285.64,73,100,3.6,ES,1701668310
158,bontang,0.1333,117.5,302.15,72,92,2.64,ID,1701668310
159,tazacorte,28.629,-17.9293,290.69,77,0,3.6,ES,1701668311
160,port douglas,-16.4833,145.4667,301.87,61,74,3.11,AU,1701668311
161,kingston,17.997,-76.7936,299.68,89,20,4.63,JM,1701668086
162,ocos,14.5094,-92.1933,299.38,80,6,1.83,GT,1701668311
163,matamey,13.4231,8.4749,293.6,18,37,4.11,NE,1701668311
164,sigaboy,6.6541,126.0727,301.56,74,77,0.51,PH,1701668312
165,thunder bay,48.4001,-89.3168,269.14,86,100,2.06,CA,1701668016
166,karratha,-20.7377,116.8463,303.22,56,8,6.61,AU,1701668312
167,chornomors'k,46.305,30.6548,274.09,69,99,5.74,UA,1701668312
168,el alto,-4.2714,-81.2147,294.3,78,68,5.53,PE,1701668312
