City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
217,karungdong,5.8844,121.263,302.26,73,94,1.51,PH,1701670132
218,kitami,43.8031,143.8908,275.62,67,5,3.07,JP,1701670132
219,punta arenas,-53.15,-70.9167,281.21,81,40,9.77,CL,1701670132
220,crane,31.3974,-102.3501,284.47,33,0,3.52,US,1701670133
221,northam,51.0333,-4.2167,283.52,98,87,2.82,GB,1701670133
222,penhalonga,-18.8911,32.6978,296.75,31,18,1.54,ZW,1701670133
223,quelimane,-17.8786,36.8883,302.73,49,0,0.25,MZ,1701670133
224,brookings,44.3114,-96.7984,270.47,86,100,2.06,US,1701670133
225,vilyuchinsk,52.9306,158.4028,267.3,80,44,3.07,RU,1701670134
226,dunedin,-45.8742,170.5036,284.15,68,2,2.68,NZ,1701670134
227,stanley,54.868,-1.6985,277.47,95,75,2.57,GB,1701670134
228,moirang,24.5,93.7667,293.18,46,100,0.53,IN,1701670134
229,tazacorte,28.629,-17.9293,290.69,77,0,3.6,ES,1701670134
230,east london,-33.0153,27.9116,290.67,88,100,1.54,ZA,1701670135
231,salinopolis,-0.6136,-47.3561,299.38,86,87,3.36,BR,1701670122
232,tocoa,15.6833,-86.0,296.27,99,15,0.76,HN,1701670135
233,ceerigaabo,10.6162,47.368,289.7,27,94,2.88,SO,1701670135
234,lamesa,32.7376,-101.951,278.44,35,0,4.17,US,1701670135
235,barabinsk,55.3571,78.357,253.53,89,42,4.48,RU,1701670136
236,la mira,18.035,-102.3266,297.37,85,100,1.98,MX,1701670136
237,ixtapa,20.7,-105.2,297.16,81,100,1.07,MX,1701670136
238,praia da vitoria,38.7333,-27.0667,286.9,80,75,2.29,PT,1701670136
239,ust-tsilma,65.441,52.1498,262.38,98,100,0.89,RU,1701670136
240,kapchorwa,1.3965,34.4509,293.39,56,68,1.43,UG,1701670136
241,concepcion del oro,24.6333,-101.4167,283.76,64,100,0.63,MX,1701670137
242,beltinci,46.6053,16.2406,267.63,87,21,0.81,SI,1701670137
243,mangrol,21.1167,70.1167,301.34,58,6,6.13,IN,1701670137
244,dalhart,36.0595,-102.5133,269.16,58,0,3.09,US,1701670137
245,brandon,27.9378,-82.2859,296.07,95,40,2.57,US,1701669849
246,north bend,43.4065,-124.2243,287.51,100,100,4.63,US,1701670137
247,vorgashor,67.5833,63.95,245.04,94,80,2.32,RU,1701670138
248,itoman,26.1247,127.6694,294.58,96,75,7.72,JP,1701670138
249,nar'yan-mar,67.6713,53.087,257.65,95,96,5.36,RU,1701670138
250,auki,-8.7676,160.7034,300.0,84,81,2.86,SB,1701670138
251,hell-ville,-13.4,48.2667,300.25,75,24,1.34,MG,1701670139
252,loukhi,66.0764,33.0381,265.25,97,99,1.92,RU,1701670139
253,north platte,41.1239,-100.7654,271.07,76,2,0.89,US,1701670139
254,yellowknife,62.456,-114.3525,254.57,84,100,4.63,CA,1701669722
255,hamilton,39.1834,-84.5333,277.82,84,0,2.06,US,1701670034
256,tanjung pandan,-2.75,107.65,301.8,73,100,3.07,ID,1701670139
257,fort bragg,35.139,-79.006,288.9,84,0,2.57,US,1701670140
258,akdagmadeni,39.6603,35.8836,280.53,52,99,2.04,TR,1701670140
259,nagqu,31.5,92.0,269.02,19,100,1.55,CN,1701670140
260,greymouth,-42.4667,171.2,287.8,74,42,2.89,NZ,1701670140
261,pilar,-9.5972,-35.9567,297.11,95,37,2.45,BR,1701670140
262,rosetta,31.4044,30.4164,293.26,72,0,0.38,EG,1701670141
263,swift current,50.2834,-107.8014,272.6,80,100,7.72,CA,1701670141
264,labytnangi,66.6572,66.4183,240.39,99,92,1.08,RU,1701670141
265,zuni pueblo,35.0725,-108.8506,269.5,53,6,2.06,US,1701670141
266,reggio calabria,38.3167,16.0833,283.12,76,27,1.56,IT,1701670142
267,phultala,22.7,89.5167,299.47,46,100,3.27,BD,1701670142
268,prata,-19.3072,-48.9242,295.29,81,58,0.51,BR,1701670142
269,trairi,-3.2778,-39.2689,298.81,82,38,2.68,BR,1701670142
270,akureyri,65.6835,-18.0878,265.56,93,96,2.7,IS,1701670143
271,sona,45.4388,10.8255,274.9,80,0,2.57,IT,1701670143
272,aire-sur-la-lys,50.6387,2.3988,275.69,93,100,8.57,FR,1701669870
273,murphysboro,37.7645,-89.3351,281.94,81,0,3.6,US,1701670144
274,vuktyl,63.8567,57.3094,259.37,95,100,2.21,RU,1701670144
275,ferizli,40.9408,30.4858,284.28,93,100,1.64,TR,1701670144
276,emerald,-23.5333,148.1667,310.62,21,18,3.53,AU,1701670144
277,hami,42.8,93.45,277.99,26,4,2.47,CN,1701670144
278,lompoc,34.6391,-120.4579,288.67,89,0,4.92,US,1701670145
279,jeju city,33.5097,126.5219,284.38,65,52,1.74,KR,1701670045
280,gray,35.4167,-100.802,274.04,34,7,4.04,US,1701670145
281,puerto el triunfo,13.2833,-88.55,299.21,75,5,1.78,SV,1701670145
282,garbahaarrey,3.3289,42.2209,301.26,58,42,6.05,SO,1701670146
283,coahuayana de hidalgo,18.7,-103.6583,298.05,72,100,1.43,MX,1701670146
284,i-n-salah,27.1935,2.4607,285.47,32,0,6.04,DZ,1701670146
285,nemuro,43.3236,145.575,277.63,66,60,4.79,JP,1701670146
286,la passe,45.5549,-0.8967,279.28,78,95,11.27,FR,1701670147
287,ulety,51.3572,112.4849,268.71,66,79,0.34,RU,1701670147
288,wenatchee,47.4235,-120.3103,280.36,95,100,2.57,US,1701670148
289,buzuluk,52.7807,52.2635,274.8,92,100,7.15,RU,1701670148
290,guiuan,11.0333,125.7247,301.15,83,99,7.21,PH,1701670148
291,afaahiti,-17.75,-149.2833,300.96,82,99,10.66,PF,1701670148
292,ambam,2.3833,11.2833,294.01,98,100,0.19,CM,1701670149
293,codrington,-38.2667,141.9667,296.15,43,93,7.99,AU,1701670149
294,sparti,37.0733,22.4297,287.01,86,87,1.05,GR,1701670149
295,bumba,2.1833,22.4667,294.12,99,100,0.47,CD,1701670149
296,vadso,70.0744,29.7487,268.24,93,75,3.6,NO,1701670149
297,bileca,42.8719,18.4297,277.09,78,3,2.33,BA,1701670150
298,poronaysk,49.2167,143.1167,274.42,76,97,5.56,RU,1701670150
299,pattaya,12.9333,100.8833,307.22,65,84,1.13,TH,1701670105
300,yerofey pavlovich,53.9667,121.9667,261.18,84,29,1.22,RU,1701670151
301,hermanus,-34.4187,19.2345,291.44,66,28,4.02,ZA,1701670151
302,usinsk,65.9939,57.5281,257.63,97,100,3.58,RU,1701670151
303,taro,-8.3862,115.28,298.15,72,97,1.85,ID,1701670151
304,piotrkow trybunalski,51.4055,19.7032,269.36,95,93,3.63,PL,1701670151
305,kununurra,-15.7667,128.7333,308.14,46,58,5.14,AU,1701670152
306,bikenibeu village,1.3673,173.1241,303.13,74,20,3.6,KI,1701670152
